Metric		Current
UNIT_SIZE_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_COUNT		2,454
UNIT_SIZE_COMPONENT_UNCLASSIFIED_HIGH_RISK_LOC		23,076
UNIT_SIZE_COMPONENT_UNCLASSIFIED_HIGH_RISK_PERCENTAGE		6.75
UNIT_SIZE_COMPONENT_UNCLASSIFIED_HIGH_RISK_COUNT		345
UNIT_SIZE_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_LOC		18,393
UNIT_SIZE_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_PERCENTAGE		5.38
UNIT_SIZE_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_COUNT		93
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_LOC		149,259
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_PERCENTAGE		44.8
UNIT_SIZE_EXTENSION_PHP_NEGLIGIBLE_RISK_COUNT		28,261
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_LOC		75,095
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_PERCENTAGE		22.54
UNIT_SIZE_EXTENSION_PHP_LOW_RISK_COUNT		5,252
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_LOC		68,869
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_PERCENTAGE		20.67
UNIT_SIZE_EXTENSION_PHP_MEDIUM_RISK_COUNT		2,360
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_LOC		21,937
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_PERCENTAGE		6.58
UNIT_SIZE_EXTENSION_PHP_HIGH_RISK_COUNT		327
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_LOC		17,978
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_PERCENTAGE		5.4
UNIT_SIZE_EXTENSION_PHP_VERY_HIGH_RISK_COUNT		90
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		2,372
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		27.33
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		440
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		1,954
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		22.51
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		138
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		2,799
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		32.25
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		94
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		1,139
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		13.12
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		18
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		415
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		4.78
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		245,736
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		71.89
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		34,399
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		47,205
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		13.81
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		1,843
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		32,863
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		9.61
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		625
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		9,761
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		2.86
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		92
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		1.83
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		24
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		116
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		16,013
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_LOC		245,736
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_PERCENTAGE		71.89
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_NEGLIGIBLE_RISK_COUNT		34,399
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_LOW_RISK_LOC		47,205
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_LOW_RISK_PERCENTAGE		13.81
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_LOW_RISK_COUNT		1,843
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_LOC		32,863
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_PERCENTAGE		9.61
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_MEDIUM_RISK_COUNT		625
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_HIGH_RISK_LOC		9,761
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_HIGH_RISK_PERCENTAGE		2.86
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_HIGH_RISK_COUNT		92
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_PERCENTAGE		1.83
CONDITIONAL_COMPLEXITY_COMPONENT_UNCLASSIFIED_VERY_HIGH_RISK_COUNT		24
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_LOC		241,018
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_PERCENTAGE		72.35
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_NEGLIGIBLE_RISK_COUNT		33,831
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_LOC		44,917
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_PERCENTAGE		13.48
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_LOW_RISK_COUNT		1,749
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_LOC		31,745
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_PERCENTAGE		9.53
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_MEDIUM_RISK_COUNT		599
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_LOC		9,206
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_PERCENTAGE		2.76
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_HIGH_RISK_COUNT		87
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_LOC		6,252
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_PERCENTAGE		1.88
CONDITIONAL_COMPLEXITY_COMPONENT_PHP_VERY_HIGH_RISK_COUNT		24
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		4,718
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		54.36
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		568
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		2,288
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		26.36
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		94
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		1,118
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		12.88
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		26
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		555
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		6.39
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		5
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		6,682
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		1,859
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		62,009
DUPLICATION_NUMBER_OF_CLEANED_LINES		450,874
DUPLICATION_PERCENTAGE		13.75
UNIT_DUPLICATES_COUNT		390
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_UNCLASSIFIED		62,009
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_UNCLASSIFIED		62,009
DUPLICATION_PERCENTAGE_PRIMARY_UNCLASSIFIED		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PHP		54,740
DUPLICATION_NUMBER_OF_CLEANED_LINES_PHP		423,571
DUPLICATION_PERCENTAGE_PHP		12.92
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_TPL		250
DUPLICATION_NUMBER_OF_CLEANED_LINES_TPL		330
DUPLICATION_PERCENTAGE_TPL		75.76
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		286
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		3,858
DUPLICATION_PERCENTAGE_CSS		7.41
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_SCSS		274
DUPLICATION_NUMBER_OF_CLEANED_LINES_SCSS		1,518
DUPLICATION_PERCENTAGE_SCSS		18.05
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_XSD		4,740
DUPLICATION_NUMBER_OF_CLEANED_LINES_XSD		6,723
DUPLICATION_PERCENTAGE_XSD		70.5
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_LESS		170
DUPLICATION_NUMBER_OF_CLEANED_LINES_LESS		239
DUPLICATION_PERCENTAGE_LESS		71.13
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		419
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		9,268
DUPLICATION_PERCENTAGE_JS		4.52
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_VUE		1,130
DUPLICATION_NUMBER_OF_CLEANED_LINES_VUE		4,540
DUPLICATION_PERCENTAGE_VUE		24.89
TOTAL_ANALYSIS_TIME_IN_MILLIS		54,271,875
