Path	Lines of Code
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/Location.php	56
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/Mapping.php	67
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/PBFunction.php	56
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/Profile.php	160
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/ProfilesData.php	42
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/ProfilesDictionary.php	89
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/ResourceProfiles.php	53
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/Sample.php	67
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/ScopeProfiles.php	53
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/Stack.php	23
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Profiles/V1development/ValueType.php	45
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Resource/V1/Resource.php	45
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/ConstantSampler.php	23
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/ConstantSampler/ConstantDecision.php	32
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/ConstantSampler_ConstantDecision.php	7
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/InstrumentationLibrarySpans.php	53
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/RateLimitingSampler.php	23
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/ResourceSpans.php	53
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/ScopeSpans.php	53
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span.php	196
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span/Event.php	57
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span/Link.php	79
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span/SpanKind.php	38
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/SpanFlags.php	33
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span_Event.php	7
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span_Link.php	7
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Span_SpanKind.php	7
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Status.php	34
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Status/DeprecatedStatusCode.php	60
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Status/StatusCode.php	32
vendor/open-telemetry/gen-otlp-protobuf/Opentelemetry/Proto/Trace/V1/Status_DeprecatedStatusCode.php	7
