path	# lines of code
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/French/Inflectible.php	35	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/French/InflectorFactory.php	16	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/French/Rules.php	26	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/French/Uninflected.php	19	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/NorwegianBokmal/Inflectible.php	25	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/NorwegianBokmal/InflectorFactory.php	16	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/NorwegianBokmal/Rules.php	26	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/NorwegianBokmal/Uninflected.php	21	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Pattern.php	30	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Patterns.php	23	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Portuguese/Inflectible.php	89	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Portuguese/InflectorFactory.php	16	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Portuguese/Rules.php	26	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Portuguese/Uninflected.php	23	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Ruleset.php	27	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Spanish/Inflectible.php	38	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Spanish/InflectorFactory.php	16	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Spanish/Rules.php	26	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Spanish/Uninflected.php	21	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Substitution.php	21	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Substitutions.php	41	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Transformation.php	27	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Transformations.php	21	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Turkish/Inflectible.php	25	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Turkish/InflectorFactory.php	16	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Turkish/Rules.php	26	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Turkish/Uninflected.php	21	
vendor/doctrine/inflector/lib/Doctrine/Inflector/Rules/Word.php	15	
vendor/doctrine/inflector/lib/Doctrine/Inflector/RulesetInflector.php	33	
vendor/doctrine/inflector/lib/Doctrine/Inflector/WordInflector.php	7	
vendor/doctrine/lexer/src/AbstractLexer.php	134	
vendor/doctrine/lexer/src/Token.php	21	
vendor/dragonmantank/cron-expression/src/Cron/AbstractField.php	188	
vendor/dragonmantank/cron-expression/src/Cron/CronExpression.php	306	
vendor/dragonmantank/cron-expression/src/Cron/DayOfMonthField.php	87	
