Metric		Current
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SCSS		315
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_LESS		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_LESS		239
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_SQL		111
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_XML		33
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_RB		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_RB		8
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		121
LOW_RISK_FILE_SIZE_COUNT		37
MEDIUM_RISK_FILE_SIZE_COUNT		6
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		4
NEGLIGIBLE_RISK_FILE_SIZE_LOC		3,635
LOW_RISK_FILE_SIZE_LOC		5,181
MEDIUM_RISK_FILE_SIZE_LOC		2,441
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		8,569
NUMBER_OF_UNITS		622
LINES_OF_CODE_IN_UNITS		7,600
LINES_OF_CODE_OUTSIDE_UNITS		12,226
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		2,155
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		28.36
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		395
UNIT_SIZE_LOW_RISK_LOC		1,728
UNIT_SIZE_LOW_RISK_PERCENTAGE		22.74
UNIT_SIZE_LOW_RISK_COUNT		122
UNIT_SIZE_MEDIUM_RISK_LOC		2,597
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		34.17
UNIT_SIZE_MEDIUM_RISK_COUNT		88
UNIT_SIZE_HIGH_RISK_LOC		1,019
UNIT_SIZE_HIGH_RISK_PERCENTAGE		13.41
UNIT_SIZE_HIGH_RISK_COUNT		16
UNIT_SIZE_VERY_HIGH_RISK_LOC		101
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		1.33
UNIT_SIZE_VERY_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_LOC		118
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_PERCENTAGE		47.77
UNIT_SIZE_COMPONENT_APP_NEGLIGIBLE_RISK_COUNT		23
UNIT_SIZE_COMPONENT_APP_LOW_RISK_LOC		69
UNIT_SIZE_COMPONENT_APP_LOW_RISK_PERCENTAGE		27.94
UNIT_SIZE_COMPONENT_APP_LOW_RISK_COUNT		5
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_LOC		60
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_PERCENTAGE		24.29
UNIT_SIZE_COMPONENT_APP_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_DATABASE_NEGLIGIBLE_RISK_LOC		164
UNIT_SIZE_COMPONENT_DATABASE_NEGLIGIBLE_RISK_PERCENTAGE		62.6
UNIT_SIZE_COMPONENT_DATABASE_NEGLIGIBLE_RISK_COUNT		26
UNIT_SIZE_COMPONENT_DATABASE_LOW_RISK_LOC		40
UNIT_SIZE_COMPONENT_DATABASE_LOW_RISK_PERCENTAGE		15.27
UNIT_SIZE_COMPONENT_DATABASE_LOW_RISK_COUNT		3
